"","CONTROL","AGE1","METRO3","REGION","LMED","FMR","L30","L50","L80","IPOV","BEDRMS","BUILT","STATUS","TYPE","VALUE","VACANCY","TENURE","NUNITS","ROOMS","WEIGHT","PER","ZINC2","ZADEQ","ZSMHC","STRUCTURETYPE","OWNRENT","UTILITY","OTHERCOST","COST06","COST12","COST08","COSTMED","TOTSAL","ASSISTED","GLMED","GL30","GL50","GL80","APLMED","ABL30","ABL50","ABL80","ABLMED","BURDEN","INCRELAMIPCT","INCRELAMICAT","INCRELPOVPCT","INCRELPOVCAT","INCRELFMRPCT","INCRELFMRCAT","COST06RELAMIPCT","COST06RELAMICAT","COST06RELPOVPCT","COST06RELPOVCAT","COST06RELFMRPCT","COST06RELFMRCAT","COST08RELAMIPCT","COST08RELAMICAT","COST08RELPOVPCT","COST08RELPOVCAT","COST08RELFMRPCT","COST08RELFMRCAT","COST12RELAMIPCT","COST12RELAMICAT","COST12RELPOVPCT","COST12RELPOVCAT","COST12RELFMRPCT","COST12RELFMRCAT","COSTMedRELAMIPCT","COSTMedRELAMICAT","COSTMedRELPOVPCT","COSTMedRELPOVCAT","COSTMedRELFMRPCT","COSTMedRELFMRCAT","FMTZADEQ","FMTMETRO3","FMTBUILT","FMTSTRUCTURETYPE","FMTBEDRMS","FMTOWNRENT","FMTCOST06RELPOVCAT","FMTCOST08RELPOVCAT","FMTCOST12RELPOVCAT","FMTCOSTMEDRELPOVCAT","FMTINCRELPOVCAT","FMTCOST06RELFMRCAT","FMTCOST08RELFMRCAT","FMTCOST12RELFMRCAT","FMTCOSTMEDRELFMRCAT","FMTINCRELFMRCAT","FMTCOST06RELAMICAT","FMTCOST08RELAMICAT","FMTCOST12RELAMICAT","FMTCOSTMEDRELAMICAT","FMTINCRELAMICAT","FMTASSISTED","FMTBURDEN","FMTREGION","FMTSTATUS"
"60978","'999900015712'",68,"'1'","'3'",62924,633,13364,22257,35599,11067,1,1980,"'1'",1,-6,-6,"'2'",110,4,1187.7217618,1,11100,"'1'",343,5,"'2'",43,0,343,343,343,343,0,1,62924,13364,22257,35599,44046.8,14318.571429,23846.785714,38141.785714,47193,0.3708108108,25.200468592,1,100.29818379,2,43.838862559,1,29.072108152,1,123.97216951,2,54.186413902,2,29.072108152,1,123.97216951,2,54.186413902,2,29.072108152,1,123.97216951,2,54.186413902,2,29.072108152,1,123.97216951,2,54.186413902,2,"'1 Adequate'","'Central City'","'1980-1989'","'5 50+ units'","'1 1BR'","'2 Renter'","'2 100-150% Poverty'","'2 100-150% Poverty'","'2 100-150% Poverty'","'2 100-150% Poverty'","'2 100-150% Poverty'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'1 LTE 50% FMR'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 Assisted'","'2 30% to 50%'","'-5'","'-5'"
"4947","'189029720145'",73,"'1'","'2'",66500,669,16082,26765,42813,13948,2,1930,"'1'",1,-6,-6,"'2'",1,4,1869.0881755,2,25364,"'1'",805,1,"'2'",254.66666667,0,805,805,805,805,0,0,66500,16082,26765,42813,53200,18092.25,30110.625,48164.625,59850,0.3808547548,47.676691729,2,181.84685976,3,94.783258595,2,53.801169591,3,230.85747061,4,120.32884903,3,53.801169591,3,230.85747061,4,120.32884903,3,53.801169591,3,230.85747061,4,120.32884903,3,53.801169591,3,230.85747061,4,120.32884903,3,"'1 Adequate'","'Central City'","'-5'","'1 Single Family'","'2 2BR'","'2 Renter'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 150-200% Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'2 50.1 - 100% FMR'","'3 50 - 60% AMI'","'3 50 - 60% AMI'","'3 50 - 60% AMI'","'3 50 - 60% AMI'","'2 30 - 50% AMI'","'0 Not Assisted'","'2 30% to 50%'","'-5'","'-5'"
"50382","'699426710141'",70,"'5'","'3'",50222,1034,12578,20951,33517,14007,4,1975,"'1'",1,450000,-6,"'1'",1,8,2493.166209,2,31008,"'1'",448,1,"'1'",206,137.5,3334.1796269,5071.8810175,3877.7465242,2958.0755048,0,-9,50222,12578,20951,33517,40177.6,18238.1,30378.95,48599.65,58257.52,0.173374613,77.177332643,4,221.37502677,4,74.97098646,2,228.92698672,7,952.1466772,4,322.45450937,3,266.24865076,7,1107.3738914,4,375.0238418,3,348.23871785,7,1448.3846698,4,490.51073671,3,203.10342801,7,844.74205891,4,286.08080317,3,"'1 Adequate'","'-5'","'1960-1979'","'1 Single Family'","'4 4BR+'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'2 50.1 - 100% FMR'","'7 120% AMI +'","'7 120% AMI +'","'7 120% AMI +'","'7 120% AMI +'","'4 60 - 80% AMI'","'.'","'1 Less than 30%'","'-5'","'-5'"
"34137","'499753930123'",86,"'1'","'3'",60991,602,12949,21555,34498,11067,1,1980,"'1'",1,-6,-6,"'2'",69,3,1061.5524693,1,36000,"'1'",630,5,"'2'",0,10,630,630,630,630,0,0,60991,12949,21555,34498,42693.7,13873.928571,23094.642857,36962.142857,45743.25,0.21,84.321574377,5,325.29140689,4,149.50166113,3,55.09009526,3,227.70398482,4,104.65116279,3,55.09009526,3,227.70398482,4,104.65116279,3,55.09009526,3,227.70398482,4,104.65116279,3,55.09009526,3,227.70398482,4,104.65116279,3,"'1 Adequate'","'Central City'","'1980-1989'","'5 50+ units'","'1 1BR'","'2 Renter'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 50 - 60% AMI'","'3 50 - 60% AMI'","'3 50 - 60% AMI'","'3 50 - 60% AMI'","'5 80 - 100% AMI'","'0 Not Assisted'","'1 Less than 30%'","'-5'","'-5'"
"54350","'731757280142'",64,"'3'","'3'",73559,1467,17757,29565,43499,15452,4,1995,"'1'",1,500000,-6,"'1'",1,7,1718.2232951,2,103987,"'1'",4171,1,"'1'",356.16666667,190,3869.1440299,5799.9233528,4473.1072491,3451.2505609,20000,-9,73559,17757,29565,43499,58847.2,25747.65,42869.25,63073.55,85328.44,0.4813293969,176.70679319,7,672.9679006,4,177.21029312,3,181.37652721,7,1001.5904815,4,263.74533264,3,209.68892665,7,1157.9361245,4,304.91528624,3,271.88699818,7,1501.4039226,4,395.35946509,3,161.78664749,7,893.41200126,4,235.25907027,3,"'1 Adequate'","'-5'","'1990-1999'","'1 Single Family'","'4 4BR+'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'7 120% AMI +'","'7 120% AMI +'","'7 120% AMI +'","'7 120% AMI +'","'7 120% AMI +'","'.'","'2 30% to 50%'","'-5'","'-5'"
"47204","'687574750140'",54,"'2'","'4'",86700,2396,26200,43700,69900,23828,4,1950,"'1'",1,400000,-6,"'1'",1,8,2795.821926,4,119948,"'1'",2236,1,"'1'",152.66666667,50,2861.0485572,4405.6720156,3344.2191326,2526.733782,120000,-9,86700,26200,43700,69900,86700,30392,50692,81084,100572,0.2236969353,138.34832757,7,503.39096861,4,125.15442404,3,113.79105744,6,480.28345765,4,119.40937217,3,133.00795978,7,561.39317318,4,139.57508901,3,175.22459594,7,739.57898533,4,183.87612753,3,100.49452261,6,424.16212557,4,105.45633481,3,"'1 Adequate'","'-5'","'1940-1959'","'1 Single Family'","'4 4BR+'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'6 100 - 120% AMI'","'7 120% AMI +'","'7 120% AMI +'","'6 100 - 120% AMI'","'7 120% AMI +'","'.'","'1 Less than 30%'","'West'","'-5'"
"24371","'399083738286'",48,"'5'","'3'",46720,859,13216,22021,35224,18595,3,2005,"'1'",1,150000,-6,"'1'",1,6,2064.2945324,3,121974,"'1'",1185,1,"'1'",292.83333333,58.333333333,1348.0598756,1927.2936725,1529.2488414,1222.6918349,122000,-9,46720,13216,22021,35224,42048,15271.822222,25446.488889,40703.288889,48588.8,0.1165822224,290.08276256,7,655.95052433,4,354.98835856,3,110.97700504,6,289.9833021,4,156.93362929,3,125.89311458,7,328.95914846,4,178.02664044,3,158.6615576,7,414.58320463,4,224.36480472,3,100.65626934,6,263.01518364,4,142.33897962,3,"'1 Adequate'","'-5'","'2000-2009'","'1 Single Family'","'3 3BR'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'6 100 - 120% AMI'","'7 120% AMI +'","'7 120% AMI +'","'6 100 - 120% AMI'","'7 120% AMI +'","'.'","'1 Less than 30%'","'-5'","'-5'"
"53419","'730930130144'",51,"'3'","'1'",73738,1204,20222,33697,51838,18595,3,1995,"'1'",1,1,-6,"'1'",1,7,1188.4159431,3,91008,"'1'",2342,1,"'1'",342,0.0833333333,342.08997929,342.09384085,342.09118721,342.0891435,85000,-9,73738,20222,33697,51838,66364.2,23367.644444,38938.755556,59901.688889,76687.52,0.3088080169,137.13417776,7,489.4218876,4,188.97009967,3,17.84331945,1,73.587519072,1,28.412788977,1,17.843382455,1,73.587778911,1,28.412889304,1,17.843520867,1,73.588349738,1,28.413109705,1,17.843275855,1,73.587339285,1,28.41271956,1,"'1 Adequate'","'-5'","'1990-1999'","'1 Single Family'","'3 3BR'","'1 Owner'","'1 LTE Poverty'","'1 LTE Poverty'","'1 LTE Poverty'","'1 LTE Poverty'","'4 200%+ Poverty'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'3 GT FMR'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'7 120% AMI +'","'.'","'2 30% to 50%'","'-5'","'-5'"
"10987","'269502930133'",-9,"'2'","'2'",64810,1094,13639,22700,36292,-6,3,1950,"'3'",1,160000,3,"'-6'",1,6,397.42129005,-6,-6,"'-6'",-6,1,"'1'",50,66.666666667,1180.0194229,1797.8688062,1373.2876531,1046.2935128,-9,-9,64810,13639,22700,36292,-9,20263.657143,33725.714286,53919.542857,67402.4,-9,-9,-9,-9,-9,-9,-9,70.028332694,4,-9,-9,107.86283573,3,81.497848922,5,-9,-9,125.52903593,3,106.69464626,6,-9,-9,164.33901337,3,62.09235949,4,-9,-9,95.639260769,2,"'-5'","'-5'","'1940-1959'","'1 Single Family'","'3 3BR'","'1 Owner'","'.'","'.'","'.'","'.'","'.'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'2 50.1 - 100% FMR'","'.'","'4 60 - 80% AMI'","'5 80 - 100% AMI'","'6 100 - 120% AMI'","'4 60 - 80% AMI'","'.'","'.'","'.'","'-5'","'-5'"
"19104","'346711120141'",35,"'1'","'4'",61900,1421,30850,51350,82150,34575,2,1970,"'1'",1,-6,-6,"'2'",1,5,2866.5249867,7,33827,"'1'",1385,1,"'2'",235.33333333,0,1385,1385,1385,1385,27000,0,61900,30850,51350,82150,76756,22391.129032,37270.16129,59625,55710,0.491323499,44.070821825,2,97.836587129,1,59.512667136,2,99.44354694,4,160.23138106,3,97.466572836,2,99.44354694,4,160.23138106,3,97.466572836,2,99.44354694,4,160.23138106,3,97.466572836,2,99.44354694,4,160.23138106,3,97.466572836,2,"'1 Adequate'","'Central City'","'1960-1979'","'1 Single Family'","'2 2BR'","'2 Renter'","'3 150-200% Poverty'","'3 150-200% Poverty'","'3 150-200% Poverty'","'3 150-200% Poverty'","'1 LTE Poverty'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'4 60 - 80% AMI'","'4 60 - 80% AMI'","'4 60 - 80% AMI'","'4 60 - 80% AMI'","'2 30 - 50% AMI'","'0 Not Assisted'","'2 30% to 50%'","'West'","'-5'"
